,edge_run,ddG_mean,ddG_variance,ddG_standard_dev,num_run
239,edge_lig_4-99_lig_14284-1,-3.56,0,0,1
240,edge_lig_4-99_lig_14291-1,-4.32,0,0,1
241,edge_lig_4-99_lig_14293-1,1.5700000000000003,0,0,1
242,edge_lig_4-99_lig_1431-3,-2.880000000000001,0,0,1
243,edge_lig_4-99_lig_1431-4,-3.8100000000000005,0,0,1
244,edge_lig_4-99_lig_1433-1,-2.6999999999999997,0,0,1
245,edge_lig_4-99_lig_1435-1,-2.9299999999999997,0,0,1
246,edge_lig_4-99_lig_1436-1,-1.39,0,0,1
247,edge_lig_4-99_lig_14367-1,-2.29,0,0,1
248,edge_lig_4-99_lig_14370-1,-2.4400000000000004,0,0,1
249,edge_lig_4-99_lig_14455-1,-2.5400000000000027,0,0,1
250,edge_lig_4-99_lig_14458-1,-6.859999999999999,0,0,1
251,edge_lig_4-99_lig_14477-1,-2.3399999999999994,0,0,1
252,edge_lig_4-99_lig_1448-1,-2.0600000000000023,0,0,1
253,edge_lig_4-99_lig_14492-1,-2.8099999999999996,0,0,1
254,edge_lig_4-99_lig_14521-1,-0.629999999999999,0,0,1
255,edge_lig_4-99_lig_146-1,-3.3299999999999996,0,0,1
256,edge_lig_4-99_lig_1462-1,-1.4400000000000048,0,0,1
257,edge_lig_4-99_lig_1464-1,1.490000000000009,0,0,1
258,edge_lig_4-99_lig_14755-1,0.020000000000003126,0,0,1
259,edge_lig_4-99_lig_14787-1,-0.5199999999999996,0,0,1
260,edge_lig_4-99_lig_14791-1,-0.3299999999999983,0,0,1
261,edge_lig_4-99_lig_14816-1,0.8500000000000014,0,0,1
262,edge_lig_4-99_lig_14894-1,-3.549999999999997,0,0,1
263,edge_lig_4-99_lig_14894-2,-2.9100000000000037,0,0,1
264,edge_lig_4-99_lig_14894-3,-3.210000000000001,0,0,1
265,edge_lig_4-99_lig_1490-1,-0.9199999999999999,0,0,1
266,edge_lig_4-99_lig_1490-2,-0.6099999999999994,0,0,1
267,edge_lig_4-99_lig_14919-1,-2.5400000000000063,0,0,1
268,edge_lig_4-99_lig_14921-1,-2.520000000000003,0,0,1
269,edge_lig_4-99_lig_14929-1,-0.15000000000000568,0,0,1
270,edge_lig_4-99_lig_15012-1,-1.0300000000000011,0,0,1
271,edge_lig_4-99_lig_15022-1,-1.0200000000000014,0,0,1
272,edge_lig_4-99_lig_15050-1,0.5600000000000023,0,0,1
273,edge_lig_4-99_lig_15083-1,2.719999999999999,0,0,1
274,edge_lig_4-99_lig_15094-1,-6.390000000000001,0,0,1
275,edge_lig_4-99_lig_15105-1,0.4200000000000017,0,0,1
276,edge_lig_4-99_lig_15107-1,1.4799999999999969,0,0,1
277,edge_lig_4-99_lig_15107-2,-1.980000000000004,0,0,1
278,edge_lig_4-99_lig_15242-1,1.6800000000000068,0,0,1
279,edge_lig_4-99_lig_15270-2,0.3799999999999999,0,0,1
280,edge_lig_4-99_lig_15272-1,3.8799999999999955,0,0,1
281,edge_lig_4-99_lig_15276-1,-2.120000000000001,0,0,1
282,edge_lig_4-99_lig_15336-1,0.1700000000000017,0,0,1
283,edge_lig_4-99_lig_1534-1,-2.330000000000002,0,0,1
284,edge_lig_4-99_lig_15348-1,-3.0,0,0,1
285,edge_lig_4-99_lig_15349-1,-3.3999999999999995,0,0,1
286,edge_lig_4-99_lig_1536-1,-0.48,0,0,1
287,edge_lig_4-99_lig_1538-1,-0.22999999999999687,0,0,1
288,edge_lig_4-99_lig_15577-1,-4.17,0,0,1
289,edge_lig_4-99_lig_15577-2,-2.370000000000001,0,0,1
290,edge_lig_4-99_lig_15577-3,-3.3599999999999994,0,0,1
291,edge_lig_4-99_lig_1563-1,-2.980000000000004,0,0,1
292,edge_lig_4-99_lig_15646-1,-2.489999999999995,0,0,1
293,edge_lig_4-99_lig_15657-1,-3.469999999999999,0,0,1
294,edge_lig_4-99_lig_15661-1,-2.5999999999999996,0,0,1
295,edge_lig_4-99_lig_15685-1,-3.490000000000009,0,0,1
296,edge_lig_4-99_lig_1571-1,-2.8100000000000005,0,0,1
297,edge_lig_4-99_lig_15710-1,-5.119999999999997,0,0,1
298,edge_lig_4-99_lig_158-1,-1.4499999999999997,0,0,1
