ligand	DG(MLE)	uncertainty (kcal/mol)
lig_20746-1	1.6900000000000002	0.01
lig_17305-1	0.4500000000000002	0.01
lig_27561-1	1.1100000000000003	0.01
lig_27566-1	3.56	0.01
lig_27566-2	1.82	0.01
lig_16357-1	-1.0699999999999998	0.01
lig_34746-1	0.5900000000000003	0.01
lig_17305-2	0.6300000000000003	0.01
lig_20758-5	2.0	0.01
lig_22027-1	2.5700000000000003	0.01
lig_20747-1	6.01	0.01
lig_20771-2	4.04	0.01
lig_23487-2	-0.43999999999999995	0.01
lig_9758-1	2.04	0.01
lig_8423-1	3.0100000000000002	0.01
lig_14594-1	1.56	0.01
lig_21812-1	2.0700000000000003	0.01
lig_19262-1	-1.0299999999999998	0.01
lig_15546-1	1.37	0.01
lig_17688-1	0.6499999999999999	0.01
lig_30813-1	-0.6400000000000001	0.01
lig_18872-1	5.19	0.01
lig_21334-1	0.56	0.01
lig_20758-6	0.5800000000000001	0.01
lig_27566-3	2.2600000000000002	0.01
lig_20712-1	4.54	0.01
lig_20801-3	1.81	0.01
lig_43683-1	2.1	0.01
lig_27557-2	-0.22999999999999998	0.01
lig_30810-1	3.74	0.01
lig_20747-2	2.91	0.01
lig_20714-1	-1.1599999999999997	0.01
lig_20709-2	2.81	0.01
lig_41211-1	0.28000000000000025	0.01
lig_14602-1	2.41	0.01
lig_14591-1	2.38	0.01
lig_20712-2	1.15	0.01
lig_10694-1	0.5	0.01
lig_3838-1	0.0900000000000003	0.01
lig_30849-1	-1.7600000000000002	0.01
lig_8432-1	1.7500000000000002	0.01
lig_30805-2	1.86	0.01
lig_36661-1	1.0900000000000003	0.01
lig_28183-1	2.77	0.01
lig_27572-1	0.8700000000000001	0.01
lig_43638-1	2.5	0.01
lig_27565-2	1.0100000000000002	0.01
lig_20706-1	2.1500000000000004	0.01
lig_30805-1	3.5700000000000003	0.01
lig_2739-2	3.0500000000000003	0.01
lig_44967-1	2.31	0.01
lig_20801-1	6.26	0.01
lig_27573-1	5.54	0.01
lig_29835-1	2.7	0.01
lig_3109-1	0.26000000000000023	0.01
lig_20754-1	0.28000000000000025	0.01
lig_9757-1	3.18	0.01
lig_44102-4	1.81	0.01
lig_42640-1	2.2600000000000002	0.01
lig_32428-1	1.9700000000000002	0.01
lig_20774-6	3.39	0.01
lig_5718-1	0.3600000000000003	0.01
lig_14914-1	-0.19999999999999973	0.01
lig_29668-1	1.6900000000000002	0.01
lig_17694-1	-0.5500000000000003	0.01
lig_7106-2	0.6200000000000001	0.01
lig_30797-2	-0.5100000000000002	0.01
lig_20745-2	1.6600000000000001	0.01
lig_41059-2	3.33	0.01
lig_11471-2	1.04	0.01
lig_34827-1	3.22	0.01
lig_17268-1	2.4400000000000004	0.01
lig_17273-1	1.6500000000000001	0.01
lig_40273-1	-1.0900000000000003	0.01
lig_25919-2	1.6100000000000003	0.01
lig_11471-4	1.2400000000000002	0.01
lig_35651-1	3.94	0.01
lig_25909-1	1.5700000000000003	0.01
lig_25912-1	3.43	0.01
lig_7105-2	-1.0900000000000003	0.01
lig_23802-1	3.17	0.01
lig_30810-2	2.96	0.01
lig_31720-1	2.77	0.01
lig_44990-1	2.72	0.01
lig_16509-1	1.77	0.01
lig_20746-4	5.91	0.01
lig_29840-1	3.7800000000000002	0.01
lig_19291-1	0.79	0.01
lig_27560-2	1.7300000000000002	0.01
lig_20697-1	4.34	0.01
lig_10683-1	5.34	0.01
lig_43689-1	0.16999999999999993	0.01
lig_19260-1	4.82	0.01
lig_20714-3	3.99	0.01
lig_38256-3	6.37	0.01
lig_2330-2	3.68	0.01
lig_2330-1	4.140000000000001	0.01
lig_16598-1	5.5600000000000005	0.01
lig_14110-1	5.4	0.01
lig_3469-1	2.05	0.01
lig_37083-2	2.6	0.01
lig_2338-1	2.5100000000000002	0.01
lig_29535-1	5.74	0.01
lig_34121-1	2.7600000000000002	0.01
lig_20774-1	3.5900000000000003	0.01
lig_23901-1	0.5900000000000003	0.01
lig_2949-1	0.4500000000000002	0.01
