,edge_run,ddG_mean,ddG_variance,ddG_standard_dev,num_run
53,edge_lig_16334-1_lig_20754-3,-2.459999999999999,0,0,1
54,edge_lig_20772-1_lig_16334-1,1.6300000000000008,0,0,1
55,edge_lig_7127-2_lig_16334-1,-0.5800000000000001,0,0,1
56,edge_lig_8384-1_lig_16334-1,3.719999999999999,0,0,1
57,edge_lig_27561-1_lig_16334-1,1.6400000000000006,0,0,1
58,edge_lig_16334-1_lig_17260-1,-0.7100000000000009,0,0,1
59,edge_lig_17305-2_lig_16334-1,0.5899999999999999,0,0,1
60,edge_lig_14594-1_lig_16334-1,1.0399999999999991,0,0,1
61,edge_lig_21334-1_lig_20758-6,3.039999999999999,0,0,1
62,edge_lig_20758-6_lig_25919-1,4.690000000000001,0,0,1
63,edge_lig_20758-6_lig_20747-2,2.549999999999999,0,0,1
64,edge_lig_10694-1_lig_20758-6,1.4699999999999989,0,0,1
65,edge_lig_8384-1_lig_20746-1,1.1599999999999993,0,0,1
66,edge_lig_30805-2_lig_20746-1,-0.5799999999999992,0,0,1
67,edge_lig_20746-1_lig_8432-1,-0.25,0,0,1
68,edge_lig_27565-2_lig_27566-1,2.1500000000000004,0,0,1
69,edge_lig_27565-2_lig_17688-1,0.10000000000000142,0,0,1
70,edge_lig_27565-2_lig_20706-1,0.5200000000000014,0,0,1
71,edge_lig_27565-2_lig_30805-1,2.1300000000000026,0,0,1
72,edge_lig_27565-2_lig_2739-2,3.020000000000003,0,0,1
73,edge_lig_20774-6_lig_20758-5,0.5400000000000009,0,0,1
74,edge_lig_14914-1_lig_20758-5,1.96,0,0,1
75,edge_lig_20758-5_lig_5718-1,-2.619999999999999,0,0,1
76,edge_lig_17694-1_lig_20758-5,0.8199999999999967,0,0,1
77,edge_lig_17305-2_lig_20758-5,0.4300000000000015,0,0,1
78,edge_lig_15546-1_lig_20758-1,3.490000000000002,0,0,1
79,edge_lig_25919-2_lig_20758-1,-4.469999999999999,0,0,1
80,edge_lig_20758-1_lig_16357-2,-2.6500000000000004,0,0,1
81,edge_lig_8423-1_lig_20758-1,-1.5900000000000034,0,0,1
82,edge_lig_16509-1_lig_20746-4,3.9099999999999997,0,0,1
83,edge_lig_29840-1_lig_20746-4,1.9699999999999989,0,0,1
84,edge_lig_19291-1_lig_20746-4,5.9,0,0,1
85,edge_lig_10683-1_lig_20746-4,0.18999999999999773,0,0,1
86,edge_lig_19260-1_lig_20714-3,0.7300000000000004,0,0,1
87,edge_lig_37083-2_lig_20714-3,-0.1599999999999966,0,0,1
88,edge_lig_20774-1_lig_23901-1,-4.209999999999994,0,0,1
89,edge_lig_20774-1_lig_2949-1,-2.9700000000000006,0,0,1
90,edge_lig_20774-1_lig_7103-1,-2.9100000000000037,0,0,1
91,edge_lig_20774-1_lig_2714-1,-1.5700000000000003,0,0,1
92,edge_lig_20714-6_lig_21812-1,-0.519999999999996,0,0,1
93,edge_lig_20714-6_lig_25919-1,-1.0300000000000011,0,0,1
94,edge_lig_20714-6_lig_16357-2,0.8399999999999999,0,0,1
95,edge_lig_20714-6_lig_20750-2,-2.93,0,0,1
96,edge_lig_16357-1_lig_20714-1,3.1500000000000004,0,0,1
97,edge_lig_25919-1_lig_20714-1,-3.3200000000000003,0,0,1
98,edge_lig_17268-1_lig_20714-1,-9.069999999999993,0,0,1
99,edge_lig_5714-1_lig_20714-1,-0.3999999999999915,0,0,1
100,edge_lig_10541-1_lig_5718-2,0.5300000000000002,0,0,1
101,edge_lig_10541-1_lig_16199-1,0.14000000000000057,0,0,1
102,edge_lig_10541-1_lig_11368-2,2.6599999999999966,0,0,1
103,edge_lig_10541-1_lig_20693-1,4.419999999999998,0,0,1
104,edge_lig_10541-1_lig_22030-1,1.8700000000000045,0,0,1
105,edge_lig_10541-1_lig_20754-1,0.07000000000000006,0,0,1
106,edge_lig_10541-1_lig_8384-1,-1.509999999999998,0,0,1
107,edge_lig_10541-1_lig_34827-2,2.030000000000001,0,0,1
108,edge_lig_10541-1_lig_2714-1,-0.19000000000000128,0,0,1
109,edge_lig_8401-1_lig_10541-1,-2.870000000000001,0,0,1
110,edge_lig_2338-2_lig_20774-2,5.27,0,0,1
111,edge_lig_20774-2_lig_29535-1,-1.1900000000000013,0,0,1
112,edge_lig_20774-2_lig_18296-3,0.5500000000000007,0,0,1
