,edge_run,CGI_dG,CGI_Std_Err_parametric,CGI_Std_Err_bootstrip,BAR_dG,BAR_Std_Err_bootstrip,BAR_Std_Err_analytical,num_forward,num_backward,source_file
1730,edge_lig_15806-1_lig_1433-1_run1_protein,43.42,0.38,0.42,43.54,0.4,0.46,80,12,default
1731,edge_lig_15806-1_lig_1433-1_run1_water,42.5,0.15,0.17,42.84,0.13,0.13,80,30,default
1124,edge_lig_1433-1_lig_6706-1_run1_protein,-5.72,0.42,0.42,-5.88,0.38,0.31,15,80,default
1125,edge_lig_1433-1_lig_6706-1_run1_water,-3.61,0.09,0.1,-3.55,0.09,0.09,41,80,default
4764,edge_lig_27581-1_lig_1433-1_run1_protein,22.03,0.41,0.36,21.49,0.36,0.62,80,48,default
4765,edge_lig_27581-1_lig_1433-1_run1_water,25.87,0.19,0.22,25.86,0.23,0.25,80,56,default
1100,edge_lig_1433-1_lig_27654-1_run1_protein,-31.31,0.32,0.27,-30.94,0.29,0.34,46,80,default
1101,edge_lig_1433-1_lig_27654-1_run1_water,-30.43,0.1,0.11,-30.55,0.12,0.13,47,80,default
1102,edge_lig_1433-1_lig_29646-1_run1_protein,-30.13,0.34,0.39,-28.69,0.4,0.44,77,80,default
1103,edge_lig_1433-1_lig_29646-1_run1_water,-32.11,0.17,0.15,-32.2,0.19,0.17,65,80,default
1118,edge_lig_1433-1_lig_39834-2_run1_protein,-37.63,0.91,0.68,-36.69,0.45,4.46,15,80,default
1119,edge_lig_1433-1_lig_39834-2_run1_water,-38.02,0.2,0.23,-37.9,0.24,0.19,16,80,default
1120,edge_lig_1433-1_lig_44391-1_run1_protein,-20.17,0.93,0.67,-19.3,0.5,13.33,19,80,default
1121,edge_lig_1433-1_lig_44391-1_run1_water,-20.55,0.19,0.16,-20.8,0.15,0.2,32,77,default
1092,edge_lig_1433-1_lig_18175-1_run1_protein,-11.02,0.49,0.42,-10.62,0.32,1.87,25,80,default
1093,edge_lig_1433-1_lig_18175-1_run1_water,-10.49,0.26,0.26,-10.43,0.28,0.35,54,80,default
1114,edge_lig_1433-1_lig_36109-2_run1_protein,-70.63,0.75,0.71,-68.37,0.72,9.38,58,80,default
1115,edge_lig_1433-1_lig_36109-2_run1_water,-63.66,0.12,0.13,-63.71,0.16,0.16,59,80,default
864,edge_lig_21950-2_lig_1433-1_run1_protein,22.96,0.42,0.36,23.47,0.23,0.42,80,80,05fs
865,edge_lig_21950-2_lig_1433-1_run1_water,25.87,0.19,0.18,26.18,0.26,0.22,80,80,05fs
1096,edge_lig_1433-1_lig_24427-1_run1_protein,-67.76,0.93,0.73,-66.46,0.75,4.05,20,80,default
1097,edge_lig_1433-1_lig_24427-1_run1_water,-64.54,0.23,0.2,-64.49,0.26,0.26,41,80,default
2864,edge_lig_1943-1_lig_37884-2_run1_protein,-58.88,0.34,0.29,-58.89,0.23,0.51,80,80,default
2865,edge_lig_1943-1_lig_37884-2_run1_water,-62.26,0.12,0.13,-62.24,0.13,0.15,79,80,default
2868,edge_lig_1943-1_lig_44002-1_run1_protein,5.79,0.34,0.41,5.25,0.47,0.29,72,80,default
2869,edge_lig_1943-1_lig_44002-1_run1_water,0.24,0.79,0.81,-3.29,0.27,0.22,61,17,default
2860,edge_lig_1943-1_lig_3569-1_run1_protein,-8.28,0.4,0.4,-8.38,0.41,0.37,49,70,default
2861,edge_lig_1943-1_lig_3569-1_run1_water,-8.68,0.54,0.68,-10.52,0.23,0.18,30,10,default
2856,edge_lig_1943-1_lig_27578-1_run1_protein,8.21,0.46,0.37,8.28,0.24,0.6,14,80,default
2857,edge_lig_1943-1_lig_27578-1_run1_water,7.64,0.17,0.14,7.94,0.2,0.16,45,80,default
2850,edge_lig_1943-1_lig_16315-1_run1_protein,-18.73,0.37,0.37,-18.69,0.29,0.42,79,27,default
2851,edge_lig_1943-1_lig_16315-1_run1_water,-21.5,0.21,0.2,-21.57,0.16,0.14,47,27,default
2866,edge_lig_1943-1_lig_41204-2_run1_protein,11.31,0.33,0.34,12.37,0.22,1.59,80,79,default
2867,edge_lig_1943-1_lig_41204-2_run1_water,10.15,0.25,0.26,10.62,0.22,0.21,67,14,default
6310,edge_lig_3682-1_lig_1943-1_run1_protein,-35.7,0.48,0.58,-36.0,0.7,0.41,39,63,default
