# Experimental block
# Ligand, expt_DDG, expt_dDDG
lig_13,-10.50,0.00
lig_18,-8.68,0.00
lig_19,-8.45,0.00
lig_20,-8.46,0.00
lig_21,-8.51,0.00
lig_22,-8.70,0.00
lig_23,-8.48,0.00
lig_27,-10.02,0.00
lig_28,-9.13,0.00
lig_29,-9.56,0.00
lig_30,-10.67,0.00
lig_31,-9.55,0.00
lig_32,-9.77,0.00
lig_33,-10.75,0.00
lig_34,-11.21,0.00
lig_35,-10.42,0.00
lig_36,-10.75,0.00

# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_27566-3,lig_33862-1,-2.37,0,0.01
lig_4150-1,lig_7130-2,-0.19,0,0.01
lig_7130-2,lig_3109-1,-0.78,0,0.01
lig_30813-1,lig_7130-2,1.36,0,0.01
lig_7130-2,lig_3241-1,-2.17,0,0.01
lig_30807-2,lig_7130-2,2.29,0,0.01
lig_27566-1,lig_36661-1,-3.25,0,0.01
lig_27566-1,lig_44967-1,0.03,0,0.01
lig_2949-1,lig_27566-1,3.12,0,0.01
lig_27566-1,lig_20801-1,0.26,0,0.01
lig_27566-1,lig_27573-1,1.87,0,0.01
lig_27566-1,lig_29835-1,0.06,0,0.01
lig_27561-1,lig_27566-1,1.90,0,0.01
lig_27566-1,lig_30805-2,-0.75,0,0.01
lig_17957-1,lig_27566-1,-0.24,0,0.01
lig_129-1,lig_4723-2,-0.37,0,0.01
lig_7112-2,lig_4723-2,-3.65,0,0.01
lig_13591-2,lig_4723-2,-0.18,0,0.01
lig_10202-2,lig_4723-2,-1.12,0,0.01
lig_3845-1,lig_4723-2,-1.36,0,0.01
lig_11189-1,lig_4723-2,-2.47,0,0.01
lig_4148-1,lig_4723-2,-2.09,0,0.01
lig_18797-1,lig_4723-2,-0.20,0,0.01
lig_21812-1,lig_36670-1,-1.28,0,0.01
lig_21812-1,lig_43790-1,-0.64,0,0.01
lig_30318-1,lig_21812-1,-0.28,0,0.01
lig_21812-1,lig_37203-1,-3.51,0,0.01
lig_21812-1,lig_22022-1,0.56,0,0.01
lig_21812-1,lig_37442-1,1.18,0,0.01
lig_21812-1,lig_30805-2,-1.02,0,0.01
lig_21812-1,lig_2739-1,1.03,0,0.01
lig_14587-1,lig_21812-1,-1.12,0,0.01
lig_14594-1,lig_21812-1,3.02,0,0.01
lig_14944-2,lig_20709-4,0.40,0,0.01
lig_20759-4,lig_20709-4,0.53,0,0.01
lig_20709-4,lig_30813-2,-1.44,0,0.01
lig_36747-1,lig_20709-4,-1.93,0,0.01
lig_21812-4,lig_27566-2,1.12,0,0.01
lig_20709-1,lig_21812-4,-1.13,0,0.01
lig_21812-4,lig_25923-1,1.19,0,0.01
lig_15546-1,lig_21812-4,-3.12,0,0.01
lig_21812-4,lig_36497-1,3.92,0,0.01
lig_14492-1,lig_21812-4,-0.98,0,0.01
lig_2959-1,lig_21812-4,-0.66,0,0.01
lig_21812-4,lig_30432-3,1.00,0,0.01
lig_21812-4,lig_14864-1,-1.94,0,0.01
lig_21812-4,lig_7105-2,-1.00,0,0.01
lig_36659-1,lig_21812-4,-2.71,0,0.01
lig_25915-1,lig_21812-4,-5.24,0,0.01
lig_23802-2,lig_21812-4,-3.98,0,0.01
lig_15539-1,lig_21812-4,-5.00,0,0.01
lig_21812-4,lig_27557-2,1.33,0,0.01
lig_7413-1,lig_21812-4,-3.92,0,0.01
lig_21812-4,lig_2754-2,2.58,0,0.01
lig_21812-4,lig_42850-1,3.84,0,0.01
lig_25924-1,lig_27566-4,-0.33,0,0.01
lig_27566-4,lig_5718-2,0.95,0,0.01
lig_14864-2,lig_27566-4,0.61,0,0.01
lig_27566-4,lig_20750-6,2.96,0,0.01
lig_27566-4,lig_20747-1,4.41,0,0.01
lig_27566-4,lig_20760-1,4.80,0,0.01
lig_27566-4,lig_37442-1,7.03,0,0.01
lig_27566-4,lig_22025-1,4.70,0,0.01
lig_27566-4,lig_11471-2,0.18,0,0.01
lig_27566-4,lig_14757-1,2.21,0,0.01
lig_27566-4,lig_12201-1,-2.39,0,0.01
lig_27566-4,lig_10694-1,4.39,0,0.01
lig_10688-1,lig_27566-4,-6.32,0,0.01
lig_27566-4,lig_29835-1,3.69,0,0.01
lig_19291-2,lig_27566-4,-0.53,0,0.01
lig_27566-4,lig_21308-1,4.82,0,0.01
lig_27566-4,lig_17290-1,2.89,0,0.01
lig_27566-4,lig_8336-1,1.36,0,0.01
lig_27566-4,lig_2739-2,5.49,0,0.01
lig_27566-4,lig_30810-2,3.97,0,0.01
lig_4150-1,lig_7130-1,1.86,0,0.01
lig_7130-1,lig_19370-1,3.83,0,0.01
lig_7130-1,lig_3793-1,-1.14,0,0.01
lig_1943-1,lig_7130-1,3.79,0,0.01
lig_7130-1,lig_44002-1,1.39,0,0.01
lig_43630-1,lig_7130-1,2.83,0,0.01
lig_7130-1,lig_4814-2,-1.16,0,0.01
lig_30778-2,lig_7130-1,0.55,0,0.01
lig_7130-1,lig_30778-1,1.76,0,0.01
lig_4150-1,lig_27566-2,1.81,0,0.01
lig_9745-1,lig_27566-2,1.99,0,0.01
lig_27566-2,lig_31720-1,2.16,0,0.01
lig_19249-1,lig_27566-2,8.37,0,0.01
lig_27566-2,lig_44102-1,-0.76,0,0.01
lig_42640-1,lig_27566-2,0.32,0,0.01
lig_27561-1,lig_27566-2,0.08,0,0.01
lig_27566-2,lig_2739-2,0.20,0,0.01
lig_27566-2,lig_14602-1,-0.20,0,0.01
lig_40743-1,lig_27566-2,2.28,0,0.01
lig_36502-1,lig_21812-2,-3.76,0,0.01
lig_21812-2,lig_14919-1,-0.78,0,0.01
lig_21812-2,lig_20724-2,0.58,0,0.01
lig_14944-2,lig_21812-2,-2.49,0,0.01
lig_20760-2,lig_21812-2,-6.59,0,0.01
lig_21812-2,lig_16609-1,2.78,0,0.01
lig_21812-2,lig_11471-2,1.59,0,0.01
lig_44523-2,lig_21812-2,-3.94,0,0.01
lig_21812-2,lig_17694-1,-0.50,0,0.01
lig_21812-2,lig_8432-1,3.11,0,0.01
lig_15552-2,lig_20709-2,-2.31,0,0.01
lig_25919-1,lig_20709-2,2.23,0,0.01
lig_20709-2,lig_7105-2,-2.61,0,0.01
lig_22043-1,lig_20709-2,1.94,0,0.01
lig_34827-1,lig_20709-2,1.67,0,0.01
lig_28176-1,lig_20709-2,0.62,0,0.01
lig_20709-2,lig_2739-2,3.15,0,0.01
lig_43638-1,lig_20709-2,2.54,0,0.01
lig_14595-1,lig_20709-2,3.91,0,0.01
lig_2770-1,lig_20709-2,1.59,0,0.01
lig_25924-1,lig_20709-3,0.18,0,0.01
lig_4150-1,lig_20709-3,-0.23,0,0.01
lig_20709-3,lig_32453-1,0.52,0,0.01
lig_20795-1,lig_20709-3,4.66,0,0.01
lig_20709-3,lig_36495-1,0.71,0,0.01
lig_43059-1,lig_20709-3,2.12,0,0.01
lig_20709-3,lig_19263-1,-0.59,0,0.01
lig_25915-1,lig_20709-3,-0.36,0,0.01
lig_10684-1,lig_20709-3,-1.04,0,0.01
lig_20709-3,lig_11471-4,-0.60,0,0.01
