ligand	DG(MLE)	uncertainty (kcal/mol)
lig_20726-2	4.42	0.01
lig_20782-1	7.1899999999999995	0.01
lig_28181-1	6.220000000000001	0.01
lig_22036-1	3.52	0.01
lig_2297-1	5.01	0.0
lig_26782-2	4.5200000000000005	0.01
lig_17881-1	4.720000000000001	0.01
lig_2136-1	2.22	0.0
lig_11299-1	0.6300000000000003	0.0
lig_14496-1	4.15	0.0
lig_35138-1	6.24	0.0
lig_10935-1	3.52	0.0
lig_34370-1	4.05	0.01
lig_3283-1	4.62	0.01
lig_20702-6	4.3100000000000005	0.01
lig_36898-1	5.45	0.01
lig_22031-1	3.38	0.01
lig_37247-2	0.03000000000000025	0.01
lig_27557-1	3.74	0.01
lig_30432-1	5.73	0.01
lig_19285-2	10.24	0.01
lig_41930-1	3.65	0.01
lig_22034-1	5.55	0.01
lig_36504-1	1.7600000000000002	0.01
lig_35646-1	3.39	0.01
lig_20771-1	5.19	0.01
lig_10686-1	3.08	0.01
lig_17750-1	-0.1499999999999999	0.01
lig_20772-2	6.82	0.01
lig_9124-1	-0.6199999999999997	0.01
lig_36661-2	4.44	0.01
lig_30807-1	2.6900000000000004	0.01
lig_28463-1	1.35	0.01
lig_14886-1	4.21	0.01
lig_11363-1	6.37	0.01
lig_39667-1	5.71	0.01
lig_20062-1	1.9400000000000002	0.01
lig_38150-2	2.2300000000000004	0.0
lig_38150-1	3.6100000000000003	0.0
lig_42554-2	3.6	0.01
lig_11965-1	1.23	0.01
lig_2936-2	1.0	0.01
lig_27499-1	1.6	0.01
lig_42723-2	3.7600000000000002	0.01
lig_23900-1	3.7	0.01
lig_36218-1	3.6300000000000003	0.01
lig_11366-2	3.21	0.01
lig_35647-1	6.74	0.01
lig_25252-1	6.5	0.01
lig_5719-1	1.9700000000000002	0.01
lig_3216-1	4.7	0.01
lig_15014-1	0.20999999999999996	0.01
lig_7112-1	3.3000000000000003	0.01
lig_44523-1	3.27	0.01
lig_3109-2	3.04	0.01
lig_29260-1	5.91	0.01
lig_39967-2	3.9000000000000004	0.01
lig_4321-1	1.9000000000000001	0.0
lig_2716-1	4.9	0.0
lig_15816-3	1.58	0.01
lig_26765-2	6.62	0.01
lig_15339-1	5.82	0.0
lig_3446-1	3.96	0.01
lig_10504-1	1.6100000000000003	0.01
lig_8144-1	3.58	0.01
lig_34976-1	3.35	0.01
lig_29657-1	2.67	0.0
lig_1917-2	3.41	0.0
lig_3102-1	3.92	0.0
lig_2142-2	3.43	0.01
lig_10499-1	1.9100000000000001	0.0
lig_3790-1	2.09	0.0
lig_3371-1	2.7600000000000002	0.0
lig_24964-2	1.77	0.0
lig_2177-1	4.08	0.0
lig_10315-1	4.79	0.0
lig_24948-2	0.5700000000000003	0.01
lig_3712-2	6.050000000000001	0.01
lig_19737-2	2.58	0.01
lig_21098-1	5.12	0.01
lig_9296-1	0.33000000000000007	0.0
lig_26776-1	6.73	0.01
lig_27582-1	6.1899999999999995	0.01
lig_14713-1	3.81	0.01
lig_24439-1	4.12	0.01
lig_15107-2	5.01	0.0
lig_16601-3	3.5900000000000003	0.01
lig_24938-1	2.84	0.01
lig_43197-1	12.58	0.01
lig_3685-1	1.6300000000000003	0.0
lig_39331-1	2.25	0.0
lig_10504-5	-1.3000000000000003	0.01
lig_4556-1	5.67	0.0
lig_43640-1	6.65	0.01
lig_39175-1	5.96	0.01
lig_20797-3	2.62	0.01
lig_8399-1	2.39	0.01
lig_27620-1	4.21	0.01
lig_20730-1	2.84	0.01
lig_16395-1	3.67	0.01
lig_4044-1	5.48	0.01
lig_9412-1	3.18	0.0
lig_29611-1	9.96	0.01
lig_29195-1	1.46	0.0
lig_26586-1	2.62	0.0
lig_5675-1	3.77	0.0
lig_45240-1	3.95	0.01
lig_38906-2	3.89	0.01
lig_13333-1	5.3	0.0
lig_4633-1	3.5500000000000003	0.0
lig_38152-1	4.94	0.01
lig_16626-1	-0.08999999999999986	0.01
lig_10202-1	2.12	0.0
lig_24905-2	1.4100000000000001	0.01
lig_24446-1	6.03	0.01
lig_20730-2	2.46	0.01
lig_40959-1	2.89	0.0
lig_39331-2	2.8200000000000003	0.0
lig_19265-1	3.6	0.0
lig_21338-1	5.1	0.0
lig_29872-2	3.38	0.0
lig_21837-2	4.68	0.01
lig_27105-2	6.12	0.01
lig_40031-1	0.9300000000000002	0.01
lig_27105-1	5.21	0.01
lig_21122-1	-7.43	0.02
lig_21927-2	7.960000000000001	0.0
lig_14521-1	4.35	0.0
lig_2137-2	5.4	0.0
lig_18861-1	1.4100000000000001	0.0
lig_39844-1	3.69	0.01
lig_14528-2	1.46	0.01
lig_2145-1	4.61	0.01
lig_36660-1	4.78	0.01
lig_25900-1	2.27	0.0
lig_3438-1	3.68	0.0
lig_1524-1	3.68	0.0
lig_39865-1	3.25	0.0
lig_12276-1	8.42	0.01
lig_2141-1	3.49	0.0
lig_6706-1	1.0300000000000002	0.0
lig_27644-2	3.23	0.01
lig_44904-2	2.96	0.0
lig_14057-1	5.13	0.0
lig_2162-1	3.85	0.0
lig_11063-2	1.2800000000000002	0.0
lig_15472-1	6.36	0.01
lig_21314-1	3.17	0.0
lig_16343-1	3.72	0.01
lig_16346-1	3.77	0.0
lig_44143-2	3.1100000000000003	0.01
lig_31237-4	4.28	0.01
