# Experimental block
# Ligand, expt_DDG, expt_dDDG
lig_1,-8.56,0.00
lig_2,-9.08,0.00
lig_3,-9.85,0.00
lig_4,-9.39,0.00
lig_5,-10.91,0.00
lig_6,-9.64,0.00
lig_7,-10.37,0.00
lig_8,-9.35,0.00
lig_9,-10.17,0.00

# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_4214-1,lig_10387-2,-0.01,0,1.69
lig_8924-1,lig_8924-3,0.44,0,0.85
lig_32345-1,lig_15710-1,0.02,0,0.04
lig_9790-1,lig_18506-4,0.78,0,1.82
lig_5688-1,lig_4362-1,-0.85,0,1.05
lig_42638-1,lig_28967-2,0.24,0,0.45
lig_9953-1,lig_16249-3,-0.79,0,2.42
lig_8924-3,lig_9953-1,2.47,0,0.82
lig_9790-1,lig_18304-1,0.19,0,0.29
lig_10387-2,lig_10834-1,-0.42,0,1.17
lig_8924-2,lig_8924-3,-2.40,0,0.67
lig_33140-1,lig_8924-3,-1.02,0,2.12
lig_4362-1,lig_16778-2,2.35,0,1.63
lig_2025-1,lig_4362-1,-5.32,0,1.85
lig_4362-1,lig_10834-1,0.26,0,0.43
lig_45112-1,lig_33140-1,0.31,0,0.45
lig_8924-2,lig_33140-1,1.41,0,1.55
