"Title","SMILES"
"489","*CC(N)C(=O)NC(C)C(=O)O"
"491","*CNC(C)C(N)=O"
"495","*NC(=O)CCCN"
"496","*C(=O)N(C)C"
"501","*N(Cc1cnc[nH]1)C(C)C"
"503","*c1cn2c(n1)CCC2"
"505","*Nc1ccncn1"
"506","*COc1cnc(N)nc1N"
"507","*NC(=O)c1ccncc1"
"508","*c1nc2ccccc2c(=O)[nH]1"
"510","*c1nc(N)nc(N)n1"
"511","*C(=O)N1CC(NC)C1"
"512","*C(=O)N1CCNCC1"
"514","*c1nnn[nH]1"
"515","*CNc1ccccc1"
"516","*C(=O)NCCCC"
"518","*C(=O)N1CCCCC1"
"521","*C(=O)NCCN(C)C"
"526","*c1ccccc1OC"
"527","*C(=O)Nc1ccccc1"
"529","*C(=O)Nc1cccnc1"
"530","*CN(C)c1ccccc1"
"532","*c1cccnc1"
"533","*C(=O)NCCCCCO"
"534","*C(=O)N1CC(CCO)C1"
"535","*CCN1CCC(C)CC1"
"541","*C(=O)NC"
"542","*CC(N)CC1CC1"
"548","*CC(N)CC1CCCC1"
"549","*C(=O)NC1CCC1"
"550","*C(=O)NC1CCCC1"
"551","*CC(CCC(N)C(=O)O)NCCC"
"554","*Cn1nc(C)cc1C"
"557","*C(=O)NC(C)C"
"559","*C(=O)N1CCOCC1"
"560","*C(=O)NC1CC1"
"561","*C(=O)NCCN"
"562","*CC(=O)NC"
"572","*C(=O)N(C)CCCC"
"574","*C(=O)NCCCCC"
"575","*C(=O)NCC1CC1"
"576","*c1ccon1"
"577","*CN(C)CCC(N)=O"
"581","*CC(N)CCC(N)C(=O)O"
"584","*CNCCC"
"585","*CC(N)CC1CCCCC1"
"587","*C(=O)NCC"
"591","*CNCC"
"594","*CN(C)CCN"
"601","*c1nnn(CC)n1"
"603","*CC(N)CC1CCC1"
"604","*C(=O)NCC(F)(F)F"
"605","*CCC(CCN)NCCCCN"
"607","*CN(CCCN)CCC(N)C(=O)O"
"608","*COC(C)(C)c1ccccc1"
"611","*C(=O)NCCc1cccc(F)c1"
"613","*C(=O)NCc1cccc(F)c1"
"615","*C(=O)NCCC(C)C"
"617","*CN(C)C"
"618","*CN(C)CCCN"
"622","*C(=O)N(CC)CC"
"624","*CNC"
"629","*C(=O)NCCC"
"630","*CF"
"632","*CN(C)C(C)C"
"636","*COC"
"637","*C(=O)NC1CCCCC1"
"643","*c1cccc(C(F)(F)F)c1"
"644","*c1ccc(C#N)n1CC#N"
"645","*C(O)CC(C)C"
"648","*c1sccc1C"
"650","*CN1CCCC1"
"651","*OCCCN1CCCCC1"
"652","*c1ccc(C)s1"
"653","*c1ccc(C#N)s1"
"654","*OC1CC2CCC(C1)N2"
"655","*OCCCNC(C)C"
"656","*OCCN1CCCCC1"
"657","*OCCC"
"659","*CCC(C)C"
"662","*OCCN1CCCC1"
"663","*c1ccco1"
"664","*c1cc(F)cc(F)c1"
"665","*OCCCN1CCCC1"
